Province	Riding name	Winner name	Highest votes PR	Highest votes non-PR	Voters to convince
ON	Etobicoke North	Kirsty Duncan	13665	10357	-3308
BC	Vancouver Centre	Hedy Fry	18260	15323	-2937
QC	Honoré-Mercier	Paulina Ayala	17545	14641	-2904
ON	Kingston and the Islands	Ted Hsu	23842	21189	-2653
ON	York South--Weston	Mike Sullivan	14122	11542	-2580
BC	New Westminster--Coquitlam	Fin Donnelly	23023	20776	-2247
NT	Western Arctic	Dennis Bevington	7140	5001	-2139
BC	Vancouver Quadra	Joyce Murray	22903	20984	-1919
QC	Ahuntsic	Maria Mourani	14908	13087	-1821
QC	Pierrefonds--Dollard	Lysane Blanchette-Lamothe	16390	14632	-1758
ON	Markham--Unionville	John McCallum	19429	17734	-1695
BC	Surrey North	Jasbir Sandhu	14678	13181	-1497
QC	Louis-Saint-Laurent	Alexandrine Latendresse	22629	21334	-1295
ON	Scarborough Southwest	Dan Harris	14119	12830	-1289
QC	Montmorency--Charlevoix--Haute-Côte-Nord	Jonathan Tremblay	17601	16425	-1176
NS	Kings--Hants	Scott Brison	15887	14714	-1173
ON	Welland	Malcolm Allen	21917	20895	-1022
BC	Burnaby--Douglas	Kennedy Stewart	20943	19932	-1011
BC	Newton--North Delta	Jinny Sims	15413	14510	-903
QC	Gaspésie--Îles-de-la-Madeleine	Philip Toone	12427	11650	-777
NS	Sydney--Victoria	Mark Eyking	14788	14023	-765
ON	Scarborough--Guildwood	John McKay	13849	13158	-691
PE	Malpeque	Wayne Easter	8605	7934	-671
NS	Dartmouth--Cole Harbour	Robert Chisholm	15678	15181	-497
BC	Esquimalt--Juan de Fuca	Randall C. Garrison	26198	25792	-406
QC	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	François Lapointe	17285	17276	-9
MB	Winnipeg North	Kevin Lamoureux	9053	9097	44
MB	Elmwood--Transcona	Lawrence Toet	14998	15298	300
SK	Saskatoon--Rosetown--Biggar	Kelly Block	14114	14652	538
ON	Bramalea--Gore--Malton	Bal Gosal	19368	19907	539
QC	Westmount--Ville-Marie	Marc Garneau	14704	15346	642
QC	Richmond--Arthabaska	André Bellavance	17316	18033	717
SK	Palliser	Ray Boughen	15084	15850	766
QC	Lotbinière--Chutes-de-la-Chaudière	Jacques Gourde	21683	22460	777
SK	Desnethé--Missinippi--Churchill River	Rob Gordon Clarke	9715	10509	794
BC	Vancouver Island North	John Duncan	25379	27206	1827
ON	Sault Ste. Marie	Bryan Hayes	16467	18328	1861
ON	Scarborough Centre	Roxanne James	11443	13498	2055
NL	Labrador	Peter Penashue	2120	4256	2136
QC	Lac-Saint-Louis	Francis Scarpaleggia	16253	18457	2204
YT	Yukon	Ryan Leef	3037	5422	2385
NU	Nunavut	Leona Aglukkaq	1525	3930	2405
PE	Charlottetown	Sean Casey	4632	7292	2660
NS	South Shore--St. Margaret's	Gerald Keddy	15033	17948	2915
NS	Halifax West	Geoff Regan	13239	16230	2991
QC	Bourassa	Denis Coderre	12270	15550	3280
NB	Moncton--Riverview--Dieppe	Robert Goguen	14053	17408	3355
QC	Saint-Léonard--Saint-Michel	Massimo Pacetti	11720	15340	3620
QC	Papineau	Justin Trudeau	12102	16429	4327
SK	Regina--Qu'Appelle	Andrew Scheer	11419	15896	4477
ON	Don Valley East	Joe Daniel	9878	14422	4544
ON	Kenora	Greg Rickford	6855	11567	4712
QC	Haute-Gaspésie--La Mitis--Matane--Matapédia	Jean-François Fortin	7484	12633	5149
BC	Nanaimo--Alberni	James Lunney	25165	30469	5304
ON	York West	Judy Sgro	7721	13030	5309
SK	Regina--Lumsden--Lake Centre	Tom Lukiwski	12518	18076	5558
QC	Lévis--Bellechasse	Steven Blaney	19890	25850	5960
ON	Toronto Centre	Bob Rae	16818	22832	6014
ON	London North Centre	Susan Truppe	12996	19468	6472
SK	Saskatoon--Humboldt	Brad Trost	13271	19954	6683
ON	Nipissing--Timiskaming	Jay Aspin	8781	15495	6714
ON	Essex	Jeff Watson	18538	25327	6789
ON	Oshawa	Colin Carrie	19212	26034	6822
NB	Beauséjour	Dominic LeBlanc	10397	17399	7002
AB	Edmonton East	Peter Goldring	17078	24111	7033
NB	Saint John	Rodney Weston	11382	18456	7074
QC	Roberval--Lac-Saint-Jean	Denis Lebel	11182	18438	7256
BC	Fleetwood--Port Kells	Nina Grewal	16533	23950	7417
SK	Blackstrap	Lynne Yelich	15769	23280	7511
MB	Winnipeg South Centre	Joyce Bateman	7945	15506	7561
NB	Madawaska--Restigouche	Bernard Valcourt	6562	14224	7662
PE	Egmont	Gail Shea	2369	10467	8098
SK	Wascana	Ralph Goodale	7681	15823	8142
PE	Cardigan	Lawrence MacAulay	2164	10486	8322
NL	Random--Burin--St. George's	Judy Foote	4465	12914	8449
BC	Kamloops--Thompson--Cariboo	Cathy McLeod	20983	29682	8699
NB	Miramichi	Tilly O'Neill Gordon	7097	16112	9015
QC	Mount Royal	Irwin Cotler	6963	16151	9188
SK	Prince Albert	Randy Hoback	9841	19214	9373
BC	Kootenay--Columbia	David Wilks	14199	23910	9711
SK	Saskatoon--Wanuskewin	Maurice Vellacott	11395	21183	9788
ON	Mississauga East--Cooksville	Wladyslaw Lizon	8836	18796	9960
BC	Pitt Meadows--Maple Ridge--Mission	Randy Kamp	18835	28803	9968
QC	Mégantic--L'Érable	Christian Paradis	11716	21931	10215
ON	Pickering--Scarborough East	Corneliu Chisu	8932	19220	10288
ON	Kitchener Centre	Stephen Woodworth	10742	21119	10377
NB	New Brunswick Southwest	John Williamson	7413	18066	10653
NL	Avalon	Scott Andrews	5157	16008	10851
MB	Dauphin--Swan River--Marquette	Robert Sopuck	7657	18543	10886
MB	Kildonan--St. Paul	Joy Smith	11727	22670	10943
NB	Fredericton	Keith Ashfield	10626	21573	10947
ON	Etobicoke--Lakeshore	Bernard Trottier	11046	21997	10951
BC	Vancouver South	Wai Young	8552	19504	10952
QC	Beauce	Maxime Bernier	15831	26799	10968
ON	Scarborough--Agincourt	Jim Karygiannis	7376	18498	11122
AB	Edmonton Centre	Laurie Hawn	12480	23625	11145
ON	Sarnia--Lambton	Pat Davidson	14856	26112	11256
BC	Cariboo--Prince George	Dick Harris	13135	24443	11308
NB	Fundy Royal	Rob Moore	9845	21206	11361
SK	Battlefords--Lloydminster	Gerry Ritz	7767	19203	11436
ON	London West	Ed Holder	16109	27675	11566
ON	Brant	Phil McColeman	16351	28045	11694
NS	Cumberland--Colchester--Musquodoboit Valley	Scott Armstrong	9322	21041	11719
ON	Chatham-Kent--Essex	Dave Van Kesteren	11449	23360	11911
NS	Central Nova	Peter G. MacKay	9412	21593	12181
NL	Humber--St. Barbe--Baie Verte	Gerry Byrne	4751	17119	12368
ON	Willowdale	Chungsen Leung	9777	22207	12430
BC	Port Moody--Westwood--Port Coquitlam	James Moore	14600	27181	12581
MB	Brandon--Souris	Merv Tweed	8845	22386	13541
ON	St. Catharines	Rick Dykstra	11973	25571	13598
ON	Richmond Hill	Costas Menegakis	8433	22078	13645
NL	Bonavista--Gander--Grand Falls--Windsor	Scott Simms	4306	17977	13671
ON	York Centre	Mark Adler	6656	20356	13700
BC	West Vancouver--Sunshine Coast--Sea to Sky Country	John Dunbar Weston	14828	28614	13786
ON	Etobicoke Centre	Ted Opitz	7735	21644	13909
BC	Prince George--Peace River	Bob Zimmer	9876	23946	14070
ON	Ottawa West--Nepean	John Baird	11128	25226	14098
AB	Lethbridge	Jim Hillyer	13072	27173	14101
ON	Cambridge	Gary Goodyear	15238	29394	14156
ON	Mississauga--Brampton South	Eve Adams	9465	23632	14167
ON	Mississauga--Streetsville	Brad Butt	7834	22104	14270
SK	Cypress Hills--Grasslands	David Anderson	6248	20555	14307
NS	West Nova	Greg Kerr	5631	20204	14573
ON	Brampton--Springdale	Parm Gill	10022	24618	14596
ON	Parry Sound--Muskoka	Tony Clement	11217	25864	14647
ON	Peterborough	Dean Del Mastro	14723	29393	14670
NB	Tobique--Mactaquac	Mike Allen	6388	21108	14720
MB	Saint Boniface	Shelly Glover	6935	21737	14802
BC	Delta--Richmond East	Kerry-Lynne Findlay	11181	26059	14878
SK	Yorkton--Melville	Garry Breitkreuz	6931	21906	14975
MB	Charleswood--St. James--Assiniboia	Steven Fletcher	8134	23264	15130
ON	Perth--Wellington	Gary Schellenberger	9861	25281	15420
BC	Chilliwack--Fraser Canyon	Mark Strahl	12691	28160	15469
ON	Haldimand--Norfolk	Diane Finley	10062	25655	15593
BC	Okanagan--Coquihalla	Dan Albas	12853	28525	15672
ON	Guelph	Frank Valeriote	9880	25588	15708
ON	Huron--Bruce	Ben Lobb	13493	29255	15762
ON	Oxford	Dave MacKenzie	12164	27973	15809
MB	Selkirk--Interlake	James Bezan	10933	26848	15915
ON	Niagara Falls	Rob Nicholson	12681	28748	16067
ON	Prince Edward--Hastings	Daryl Kramp	12940	29062	16122
SK	Souris--Moose Mountain	Ed Komarnicki	5461	21598	16137
ON	Kitchener--Waterloo	Peter Braid	10606	27039	16433
BC	Okanagan--Shuswap	Colin Mayes	14955	31439	16484
ON	Ajax--Pickering	Chris Alexander	8270	24797	16527
ON	Mississauga South	Stella Ambler	6354	22991	16637
AB	Edmonton--Sherwood Park	Tim Uppal	7971	24623	16652
ON	Don Valley West	John Carmichael	6280	22962	16682
ON	Elgin--Middlesex--London	Joe Preston	12439	29147	16708
AB	Edmonton--Mill Woods--Beaumont	Mike Lake	10875	27857	16982
ON	Eglinton--Lawrence	Joe Oliver	5613	22652	17039
ON	Brampton West	Kyle Seeback	11225	28320	17095
MB	Winnipeg South	Rod Bruinooge	5693	22840	17147
ON	Kitchener--Conestoga	Harold Albrecht	11665	28902	17237
ON	Lambton--Kent--Middlesex	Bev Shipley	12299	29546	17247
BC	Richmond	Alice Wong	7860	25109	17249
AB	Fort McMurray--Athabasca	Brian Jean	4053	21988	17935
AB	Calgary East	Deepak Obhrai	4894	23372	18478
ON	Glengarry--Prescott--Russell	Pierre Lemieux	9608	28174	18566
ON	Ancaster--Dundas--Flamborough--Westdale	David Sweet	10956	30240	19284
AB	Calgary Northeast	Devinder Shory	4262	23550	19288
BC	North Vancouver	Andrew Saxton	9617	28996	19379
ON	Durham	Bev Oda	12277	31737	19460
ON	Mississauga--Erindale	Robert Dechert	10327	29793	19466
ON	Ottawa--Orléans	Royal Galipeau	9086	28584	19498
ON	Bruce--Grey--Owen Sound	Larry Miller	9008	28744	19736
ON	Simcoe North	Bruce Stanton	11515	31581	20066
BC	South Surrey--White Rock--Cloverdale	Russ Hiebert	11881	31990	20109
ON	Northumberland--Quinte West	Rick Norlock	12626	32853	20227
ON	Barrie	Patrick Brown	11842	32121	20279
AB	Calgary Centre-North	Michelle Rempel	8048	28443	20395
ON	Renfrew--Nipissing--Pembroke	Cheryl Gallant	6903	27462	20559
ON	Simcoe--Grey	Kellie Leitch	11185	31784	20599
MB	Provencher	Vic Toews	7051	27820	20769
ON	Leeds--Grenville	Gord Brown	9033	29991	20958
ON	Niagara West--Glanbrook	Dean Allison	12734	33701	20967
AB	Calgary Centre	Lee Richardson	7314	28401	21087
ON	Stormont--Dundas--South Glengarry	Guy Lauzon	8313	29538	21225
BC	Kelowna--Lake Country	Ron Cannan	13322	34566	21244
ON	Burlington	Mike Wallace	11449	32958	21509
ON	Dufferin--Caledon	David Tilson	7132	28647	21515
ON	Lanark--Frontenac--Lennox and Addington	Scott Reid	12174	33754	21580
ON	Oakville	Terence Young	8117	30068	21951
ON	Haliburton--Kawartha Lakes--Brock	Barry Devolin	12934	35192	22258
BC	Abbotsford	Ed Fast	10089	32493	22404
ON	Newmarket--Aurora	Lois Brown	8886	31600	22714
ON	Whitby--Oshawa	Jim Flaherty	14305	37525	23220
MB	Portage--Lisgar	Candice Hoeppner	3478	26899	23421
ON	York--Simcoe	Peter Van Loan	10190	33614	23424
BC	Langley	Mark Warawa	11277	35569	24292
AB	Medicine Hat	LaVar Payne	5616	30719	25103
AB	Edmonton--Leduc	James Rajotte	11488	37778	26290
AB	Yellowhead	Rob Merrifield	5411	31925	26514
AB	Westlock--St. Paul	Brian Storseth	5103	32652	27549
ON	Wellington--Halton Hills	Michael Chong	7146	35132	27986
AB	Peace River	Chris Warkentin	7740	36334	28594
ON	Thornhill	Peter Kent	7141	36629	29488
AB	Red Deer	Earl Dreeshen	7566	37959	30393
ON	Nepean--Carleton	Pierre Poilievre	12962	43477	30515
ON	Vaughan	Julian Fantino	7940	38533	30593
ON	Oak Ridges--Markham	Paul Calandra	15229	46241	31012
ON	Halton	Lisa Raitt	12960	44214	31254
AB	Wetaskiwin	Blaine Calkins	5281	37756	32475
ON	Carleton--Mississippi Mills	Gordon O'Connor	11223	43723	32500
AB	Edmonton--Spruce Grove	Rona Ambrose	9272	41782	32510
AB	Calgary--Nose Hill	Diane Ablonczy	7189	40384	33195
AB	Calgary West	Robert Anders	6679	39996	33317
AB	Vegreville--Wainwright	Leon Benoit	5561	39145	33584
AB	Macleod	Ted Menzies	5335	40007	34672
AB	Calgary Southwest	Stephen J Harper	6823	42998	36175
AB	Wild Rose	Blake Richards	6595	43669	37074
AB	Crowfoot	Kevin A Sorenson	4805	44115	39310
AB	Calgary Southeast	Jason Kenney	6482	48173	41691
